vocals,instrumental,score
Bam Bam - Hi-Q,Bam Bam - Hi-Q,45.07187366485596
Bam Bam - Hi-Q,Benji Cossa - New Flowers (Fast 4-track Version),45.48917770385742
Bam Bam - Hi-Q,Bessie Smith - My Sweetie Went Away,43.50577449798584
Bam Bam - Hi-Q,David Rovics - We Just Want The World,45.66003131866455
Bam Bam - Hi-Q,deef - Ein sonniger Tag mit dir,42.251949310302734
Bam Bam - Hi-Q,Dragon Or Emperor - Part of Me Says,43.815484046936035
Bam Bam - Hi-Q,Grand Mal - Children of Light,43.90948486328125
Bam Bam - Hi-Q,Home Blitz - Secret Wave,44.965572357177734
Bam Bam - Hi-Q,Josh Woodward - Cien Volando,43.96939468383789
Bam Bam - Hi-Q,Los Steaks - Sunday Girls,45.57627296447754
Bam Bam - Hi-Q,Mia Doi Todd - I gave you my home,44.75008773803711
Bam Bam - Hi-Q,Orange Peels - Grey Holiday,44.89290523529053
Bam Bam - Hi-Q,Poland - Lying Machine,43.592562675476074
Bam Bam - Hi-Q,Shearer - Itch,44.905219078063965
Bam Bam - Hi-Q,Short Hand - Certain Strangers,45.51292610168457
Bam Bam - Hi-Q,The Cute Lepers - Young Hearts,43.9001841545105
Bam Bam - Hi-Q,The Embarrassment - Patio Set,42.74315643310547
Bam Bam - Hi-Q,The J Arthur Keenes Band - The Boring World of Niels Bohr,43.39258289337158
Bam Bam - Hi-Q,The Oranges Band - Ride the Nuclear Wave,43.79176998138428
Bam Bam - Hi-Q,Wann - Happy Birthday,45.4099006652832
Bam Bam - Hi-Q,ZOELEELA - Jewel,44.72133922576904
Benji Cossa - New Flowers (Fast 4-track Version),Bam Bam - Hi-Q,53.338541984558105
Benji Cossa - New Flowers (Fast 4-track Version),Benji Cossa - New Flowers (Fast 4-track Version),53.89604377746582
Benji Cossa - New Flowers (Fast 4-track Version),Bessie Smith - My Sweetie Went Away,48.63474655151367
Benji Cossa - New Flowers (Fast 4-track Version),David Rovics - We Just Want The World,54.83552265167236
Benji Cossa - New Flowers (Fast 4-track Version),deef - Ein sonniger Tag mit dir,50.35688400268555
Benji Cossa - New Flowers (Fast 4-track Version),Dragon Or Emperor - Part of Me Says,53.00715732574463
Benji Cossa - New Flowers (Fast 4-track Version),Grand Mal - Children of Light,52.842034339904785
Benji Cossa - New Flowers (Fast 4-track Version),Home Blitz - Secret Wave,54.10609245300293
Benji Cossa - New Flowers (Fast 4-track Version),Josh Woodward - Cien Volando,52.980377197265625
Benji Cossa - New Flowers (Fast 4-track Version),Los Steaks - Sunday Girls,54.44833278656006
Benji Cossa - New Flowers (Fast 4-track Version),Mia Doi Todd - I gave you my home,52.965514183044434
Benji Cossa - New Flowers (Fast 4-track Version),Orange Peels - Grey Holiday,53.093560218811035
Benji Cossa - New Flowers (Fast 4-track Version),Poland - Lying Machine,52.445613861083984
Benji Cossa - New Flowers (Fast 4-track Version),Shearer - Itch,53.03068161010742
Benji Cossa - New Flowers (Fast 4-track Version),Short Hand - Certain Strangers,54.410627365112305
Benji Cossa - New Flowers (Fast 4-track Version),The Cute Lepers - Young Hearts,52.07204627990723
Benji Cossa - New Flowers (Fast 4-track Version),The Embarrassment - Patio Set,51.860328674316406
Benji Cossa - New Flowers (Fast 4-track Version),The J Arthur Keenes Band - The Boring World of Niels Bohr,51.93421745300293
Benji Cossa - New Flowers (Fast 4-track Version),The Oranges Band - Ride the Nuclear Wave,52.614556312561035
Benji Cossa - New Flowers (Fast 4-track Version),Wann - Happy Birthday,54.76522731781006
Benji Cossa - New Flowers (Fast 4-track Version),ZOELEELA - Jewel,52.554975509643555
Bessie Smith - My Sweetie Went Away,Bam Bam - Hi-Q,56.26035785675049
Bessie Smith - My Sweetie Went Away,Benji Cossa - New Flowers (Fast 4-track Version),57.23641014099121
Bessie Smith - My Sweetie Went Away,Bessie Smith - My Sweetie Went Away,52.702452659606934
Bessie Smith - My Sweetie Went Away,David Rovics - We Just Want The World,57.70490646362305
Bessie Smith - My Sweetie Went Away,deef - Ein sonniger Tag mit dir,54.95603561401367
Bessie Smith - My Sweetie Went Away,Dragon Or Emperor - Part of Me Says,55.21588897705078
Bessie Smith - My Sweetie Went Away,Grand Mal - Children of Light,55.77414798736572
Bessie Smith - My Sweetie Went Away,Home Blitz - Secret Wave,56.37440013885498
Bessie Smith - My Sweetie Went Away,Josh Woodward - Cien Volando,56.52816295623779
Bessie Smith - My Sweetie Went Away,Los Steaks - Sunday Girls,57.375375747680664
Bessie Smith - My Sweetie Went Away,Mia Doi Todd - I gave you my home,56.80722904205322
Bessie Smith - My Sweetie Went Away,Orange Peels - Grey Holiday,56.64672660827637
Bessie Smith - My Sweetie Went Away,Poland - Lying Machine,55.822707176208496
Bessie Smith - My Sweetie Went Away,Shearer - Itch,56.256248474121094
Bessie Smith - My Sweetie Went Away,Short Hand - Certain Strangers,57.29157733917236
Bessie Smith - My Sweetie Went Away,The Cute Lepers - Young Hearts,54.755032539367676
Bessie Smith - My Sweetie Went Away,The Embarrassment - Patio Set,54.59265899658203
Bessie Smith - My Sweetie Went Away,The J Arthur Keenes Band - The Boring World of Niels Bohr,54.826507568359375
Bessie Smith - My Sweetie Went Away,The Oranges Band - Ride the Nuclear Wave,55.550108909606934
Bessie Smith - My Sweetie Went Away,Wann - Happy Birthday,57.423845291137695
Bessie Smith - My Sweetie Went Away,ZOELEELA - Jewel,55.91079902648926
David Rovics - We Just Want The World,Bam Bam - Hi-Q,49.88272190093994
David Rovics - We Just Want The World,Benji Cossa - New Flowers (Fast 4-track Version),50.47775077819824
David Rovics - We Just Want The World,Bessie Smith - My Sweetie Went Away,45.16552925109863
David Rovics - We Just Want The World,David Rovics - We Just Want The World,51.49382972717285
David Rovics - We Just Want The World,deef - Ein sonniger Tag mit dir,47.16417980194092
David Rovics - We Just Want The World,Dragon Or Emperor - Part of Me Says,49.642306327819824
David Rovics - We Just Want The World,Grand Mal - Children of Light,49.33199691772461
David Rovics - We Just Want The World,Home Blitz - Secret Wave,50.71219253540039
David Rovics - We Just Want The World,Josh Woodward - Cien Volando,49.63890075683594
David Rovics - We Just Want The World,Los Steaks - Sunday Girls,51.1679105758667
David Rovics - We Just Want The World,Mia Doi Todd - I gave you my home,49.561044692993164
David Rovics - We Just Want The World,Orange Peels - Grey Holiday,49.60105323791504
David Rovics - We Just Want The World,Poland - Lying Machine,49.24928665161133
David Rovics - We Just Want The World,Shearer - Itch,49.85680103302002
David Rovics - We Just Want The World,Short Hand - Certain Strangers,50.967379570007324
David Rovics - We Just Want The World,The Cute Lepers - Young Hearts,48.86296558380127
David Rovics - We Just Want The World,The Embarrassment - Patio Set,48.66133117675781
David Rovics - We Just Want The World,The J Arthur Keenes Band - The Boring World of Niels Bohr,48.57026290893555
David Rovics - We Just Want The World,The Oranges Band - Ride the Nuclear Wave,49.127803802490234
David Rovics - We Just Want The World,Wann - Happy Birthday,51.35088348388672
David Rovics - We Just Want The World,ZOELEELA - Jewel,49.262264251708984
deef - Ein sonniger Tag mit dir,Bam Bam - Hi-Q,43.64024353027344
deef - Ein sonniger Tag mit dir,Benji Cossa - New Flowers (Fast 4-track Version),44.78952980041504
deef - Ein sonniger Tag mit dir,Bessie Smith - My Sweetie Went Away,43.04455375671387
deef - Ein sonniger Tag mit dir,David Rovics - We Just Want The World,44.8201208114624
deef - Ein sonniger Tag mit dir,deef - Ein sonniger Tag mit dir,43.62054252624512
deef - Ein sonniger Tag mit dir,Dragon Or Emperor - Part of Me Says,42.772438049316406
deef - Ein sonniger Tag mit dir,Grand Mal - Children of Light,43.87644100189209
deef - Ein sonniger Tag mit dir,Home Blitz - Secret Wave,43.97380447387695
deef - Ein sonniger Tag mit dir,Josh Woodward - Cien Volando,44.90245532989502
deef - Ein sonniger Tag mit dir,Los Steaks - Sunday Girls,44.99295234680176
deef - Ein sonniger Tag mit dir,Mia Doi Todd - I gave you my home,44.148112297058105
deef - Ein sonniger Tag mit dir,Orange Peels - Grey Holiday,44.692047119140625
deef - Ein sonniger Tag mit dir,Poland - Lying Machine,44.04762268066406
deef - Ein sonniger Tag mit dir,Shearer - Itch,42.61335563659668
deef - Ein sonniger Tag mit dir,Short Hand - Certain Strangers,44.4810209274292
deef - Ein sonniger Tag mit dir,The Cute Lepers - Young Hearts,41.0269513130188
deef - Ein sonniger Tag mit dir,The Embarrassment - Patio Set,42.1390380859375
deef - Ein sonniger Tag mit dir,The J Arthur Keenes Band - The Boring World of Niels Bohr,43.450029373168945
deef - Ein sonniger Tag mit dir,The Oranges Band - Ride the Nuclear Wave,42.987266540527344
deef - Ein sonniger Tag mit dir,Wann - Happy Birthday,44.3285608291626
deef - Ein sonniger Tag mit dir,ZOELEELA - Jewel,44.25802707672119
Dragon Or Emperor - Part of Me Says,Bam Bam - Hi-Q,51.004048347473145
Dragon Or Emperor - Part of Me Says,Benji Cossa - New Flowers (Fast 4-track Version),51.69981002807617
Dragon Or Emperor - Part of Me Says,Bessie Smith - My Sweetie Went Away,47.25080394744873
Dragon Or Emperor - Part of Me Says,David Rovics - We Just Want The World,52.323805809020996
Dragon Or Emperor - Part of Me Says,deef - Ein sonniger Tag mit dir,49.84064960479736
Dragon Or Emperor - Part of Me Says,Dragon Or Emperor - Part of Me Says,50.57139492034912
Dragon Or Emperor - Part of Me Says,Grand Mal - Children of Light,50.910861015319824
Dragon Or Emperor - Part of Me Says,Home Blitz - Secret Wave,51.38776874542236
Dragon Or Emperor - Part of Me Says,Josh Woodward - Cien Volando,50.94019317626953
Dragon Or Emperor - Part of Me Says,Los Steaks - Sunday Girls,52.16352558135986
Dragon Or Emperor - Part of Me Says,Mia Doi Todd - I gave you my home,51.32773971557617
Dragon Or Emperor - Part of Me Says,Orange Peels - Grey Holiday,51.196556091308594
Dragon Or Emperor - Part of Me Says,Poland - Lying Machine,50.77270793914795
Dragon Or Emperor - Part of Me Says,Shearer - Itch,50.849952697753906
Dragon Or Emperor - Part of Me Says,Short Hand - Certain Strangers,51.97183895111084
Dragon Or Emperor - Part of Me Says,The Cute Lepers - Young Hearts,49.69810104370117
Dragon Or Emperor - Part of Me Says,The Embarrassment - Patio Set,49.95382118225098
Dragon Or Emperor - Part of Me Says,The J Arthur Keenes Band - The Boring World of Niels Bohr,50.53880310058594
Dragon Or Emperor - Part of Me Says,The Oranges Band - Ride the Nuclear Wave,50.78743934631348
Dragon Or Emperor - Part of Me Says,Wann - Happy Birthday,52.118577003479004
Dragon Or Emperor - Part of Me Says,ZOELEELA - Jewel,50.888519287109375
Grand Mal - Children of Light,Bam Bam - Hi-Q,53.80974006652832
Grand Mal - Children of Light,Benji Cossa - New Flowers (Fast 4-track Version),54.16586971282959
Grand Mal - Children of Light,Bessie Smith - My Sweetie Went Away,48.70900917053223
Grand Mal - Children of Light,David Rovics - We Just Want The World,55.267019271850586
Grand Mal - Children of Light,deef - Ein sonniger Tag mit dir,51.584157943725586
Grand Mal - Children of Light,Dragon Or Emperor - Part of Me Says,53.591986656188965
Grand Mal - Children of Light,Grand Mal - Children of Light,53.639854431152344
Grand Mal - Children of Light,Home Blitz - Secret Wave,53.953046798706055
Grand Mal - Children of Light,Josh Woodward - Cien Volando,53.43564510345459
Grand Mal - Children of Light,Los Steaks - Sunday Girls,54.65740203857422
Grand Mal - Children of Light,Mia Doi Todd - I gave you my home,53.69397258758545
Grand Mal - Children of Light,Orange Peels - Grey Holiday,53.723816871643066
Grand Mal - Children of Light,Poland - Lying Machine,52.603187561035156
Grand Mal - Children of Light,Shearer - Itch,53.17482280731201
Grand Mal - Children of Light,Short Hand - Certain Strangers,54.76799201965332
Grand Mal - Children of Light,The Cute Lepers - Young Hearts,52.439717292785645
Grand Mal - Children of Light,The Embarrassment - Patio Set,52.68779182434082
Grand Mal - Children of Light,The J Arthur Keenes Band - The Boring World of Niels Bohr,52.785040855407715
Grand Mal - Children of Light,The Oranges Band - Ride the Nuclear Wave,52.966938972473145
Grand Mal - Children of Light,Wann - Happy Birthday,55.06381607055664
Grand Mal - Children of Light,ZOELEELA - Jewel,53.5629768371582
Home Blitz - Secret Wave,Bam Bam - Hi-Q,52.18215465545654
Home Blitz - Secret Wave,Benji Cossa - New Flowers (Fast 4-track Version),52.74601173400879
Home Blitz - Secret Wave,Bessie Smith - My Sweetie Went Away,47.19473934173584
Home Blitz - Secret Wave,David Rovics - We Just Want The World,53.924354553222656
Home Blitz - Secret Wave,deef - Ein sonniger Tag mit dir,49.4166784286499
Home Blitz - Secret Wave,Dragon Or Emperor - Part of Me Says,51.939353942871094
Home Blitz - Secret Wave,Grand Mal - Children of Light,51.84679126739502
Home Blitz - Secret Wave,Home Blitz - Secret Wave,53.04895496368408
Home Blitz - Secret Wave,Josh Woodward - Cien Volando,51.93009281158447
Home Blitz - Secret Wave,Los Steaks - Sunday Girls,53.47678089141846
Home Blitz - Secret Wave,Mia Doi Todd - I gave you my home,51.849002838134766
Home Blitz - Secret Wave,Orange Peels - Grey Holiday,51.94267463684082
Home Blitz - Secret Wave,Poland - Lying Machine,51.489702224731445
Home Blitz - Secret Wave,Shearer - Itch,52.06162929534912
Home Blitz - Secret Wave,Short Hand - Certain Strangers,53.29249286651611
Home Blitz - Secret Wave,The Cute Lepers - Young Hearts,50.98071479797363
Home Blitz - Secret Wave,The Embarrassment - Patio Set,51.069326400756836
Home Blitz - Secret Wave,The J Arthur Keenes Band - The Boring World of Niels Bohr,50.93439960479736
Home Blitz - Secret Wave,The Oranges Band - Ride the Nuclear Wave,51.360530853271484
Home Blitz - Secret Wave,Wann - Happy Birthday,53.680166244506836
Home Blitz - Secret Wave,ZOELEELA - Jewel,51.54868984222412
Josh Woodward - Cien Volando,Bam Bam - Hi-Q,49.26713562011719
Josh Woodward - Cien Volando,Benji Cossa - New Flowers (Fast 4-track Version),49.704813957214355
Josh Woodward - Cien Volando,Bessie Smith - My Sweetie Went Away,45.427292823791504
Josh Woodward - Cien Volando,David Rovics - We Just Want The World,50.659019470214844
Josh Woodward - Cien Volando,deef - Ein sonniger Tag mit dir,46.74740219116211
Josh Woodward - Cien Volando,Dragon Or Emperor - Part of Me Says,48.65463733673096
Josh Woodward - Cien Volando,Grand Mal - Children of Light,48.58270835876465
Josh Woodward - Cien Volando,Home Blitz - Secret Wave,49.4103479385376
Josh Woodward - Cien Volando,Josh Woodward - Cien Volando,48.966190338134766
Josh Woodward - Cien Volando,Los Steaks - Sunday Girls,50.1226167678833
Josh Woodward - Cien Volando,Mia Doi Todd - I gave you my home,49.09016227722168
Josh Woodward - Cien Volando,Orange Peels - Grey Holiday,49.2776460647583
Josh Woodward - Cien Volando,Poland - Lying Machine,48.45100784301758
Josh Woodward - Cien Volando,Shearer - Itch,49.28525161743164
Josh Woodward - Cien Volando,Short Hand - Certain Strangers,50.12019920349121
Josh Woodward - Cien Volando,The Cute Lepers - Young Hearts,48.45915508270264
Josh Woodward - Cien Volando,The Embarrassment - Patio Set,47.97096061706543
Josh Woodward - Cien Volando,The J Arthur Keenes Band - The Boring World of Niels Bohr,48.21408748626709
Josh Woodward - Cien Volando,The Oranges Band - Ride the Nuclear Wave,48.426894187927246
Josh Woodward - Cien Volando,Wann - Happy Birthday,50.17831897735596
Josh Woodward - Cien Volando,ZOELEELA - Jewel,48.41578388214111
Los Steaks - Sunday Girls,Bam Bam - Hi-Q,52.32808780670166
Los Steaks - Sunday Girls,Benji Cossa - New Flowers (Fast 4-track Version),53.007426261901855
Los Steaks - Sunday Girls,Bessie Smith - My Sweetie Went Away,48.80898666381836
Los Steaks - Sunday Girls,David Rovics - We Just Want The World,53.72974681854248
Los Steaks - Sunday Girls,deef - Ein sonniger Tag mit dir,50.130478858947754
Los Steaks - Sunday Girls,Dragon Or Emperor - Part of Me Says,51.553053855895996
Los Steaks - Sunday Girls,Grand Mal - Children of Light,52.19194984436035
Los Steaks - Sunday Girls,Home Blitz - Secret Wave,52.76268768310547
Los Steaks - Sunday Girls,Josh Woodward - Cien Volando,52.13142108917236
Los Steaks - Sunday Girls,Los Steaks - Sunday Girls,53.482001304626465
Los Steaks - Sunday Girls,Mia Doi Todd - I gave you my home,52.2769193649292
Los Steaks - Sunday Girls,Orange Peels - Grey Holiday,52.559932708740234
Los Steaks - Sunday Girls,Poland - Lying Machine,51.801513671875
Los Steaks - Sunday Girls,Shearer - Itch,51.976399421691895
Los Steaks - Sunday Girls,Short Hand - Certain Strangers,53.162057876586914
Los Steaks - Sunday Girls,The Cute Lepers - Young Hearts,50.63042449951172
Los Steaks - Sunday Girls,The Embarrassment - Patio Set,50.932151794433594
Los Steaks - Sunday Girls,The J Arthur Keenes Band - The Boring World of Niels Bohr,51.395548820495605
Los Steaks - Sunday Girls,The Oranges Band - Ride the Nuclear Wave,51.537325859069824
Los Steaks - Sunday Girls,Wann - Happy Birthday,53.399407386779785
Los Steaks - Sunday Girls,ZOELEELA - Jewel,51.97102165222168
Mia Doi Todd - I gave you my home,Bam Bam - Hi-Q,52.850759506225586
Mia Doi Todd - I gave you my home,Benji Cossa - New Flowers (Fast 4-track Version),53.19754409790039
Mia Doi Todd - I gave you my home,Bessie Smith - My Sweetie Went Away,48.53200817108154
Mia Doi Todd - I gave you my home,David Rovics - We Just Want The World,54.372915267944336
Mia Doi Todd - I gave you my home,deef - Ein sonniger Tag mit dir,50.272868156433105
Mia Doi Todd - I gave you my home,Dragon Or Emperor - Part of Me Says,52.30953502655029
Mia Doi Todd - I gave you my home,Grand Mal - Children of Light,52.454060554504395
